prop_name,monthly_rent,location,property_type,rooms,parking,bathroom,size(sq.ft.),furnished,region,near_KTM-LRT,minimart availability,security availability
The Hipster @ Taman Desa,4200,Taman Desa,Condominium,5,2,6,1842,2,Kuala Lumpur,0,1,1
Segar Courts,2300,Cheras,Condominium,3,1,2,1170,1,Kuala Lumpur,1,0,1
Sentul Point Suite Apartment,1700,Sentul,Apartment,2,1,2,743,1,Kuala Lumpur,1,1,1
Arte Mont Kiara,1299,Mont Kiara,Service Residence,1,1,1,494,0,Kuala Lumpur,0,1,1
Residensi Vista Wirajaya,1500,Setapak,Apartment,3,1,2,884,1,Kuala Lumpur,1,0,1
Sky Meridien,2900,Sentul,Service Residence,3,2,2,982,2,Kuala Lumpur,1,1,1
Arte Plus Jalan Ampang,1550,Ampang,Service Residence,1,1,1,700,2,Kuala Lumpur,1,0,1
Nova I,1400,Segambut,Apartment,2,1,1,750,2,Kuala Lumpur,1,0,1
Sofiya Residences,1350,Desa ParkCity,Condominium,3,1,2,862,1,Kuala Lumpur,1,0,1
PV9 Residences @ Taman Melati,2000,Setapak,Service Residence,4,2,2,1100,1,Kuala Lumpur,1,1,1
Arte Plus Jalan Ampang,1500,Ampang,Service Residence,1,1,1,700,2,Kuala Lumpur,1,1,1
Maxim Citilights,1300,Sentul,Service Residence,3,1,2,1009,2,Kuala Lumpur,0,1,1
Legasi Kampong Bharu,3200,KL City,Apartment,3,1,2,950,2,Kuala Lumpur,1,1,1
Majestic Maxim,1400,Cheras,Service Residence,2,2,2,650,0,Kuala Lumpur,1,0,1
Desa Villas,2500,Wangsa Maju,Condominium,4,2,2,1784,0,Kuala Lumpur,0,0,1
Majestic Maxim,1099,Cheras,Service Residence,2,1,2,650,0,Kuala Lumpur,1,0,1
Majestic Maxim,1099,Cheras,Service Residence,2,1,2,650,1,Kuala Lumpur,1,0,1
Majestic Maxim,1199,Cheras,Service Residence,3,1,2,819,0,Kuala Lumpur,1,0,1
Majestic Maxim,1100,Cheras,Service Residence,2,1,2,650,0,Kuala Lumpur,0,0,1
28 Dutamas,2500,Solaris Dutamas,Condominium,4,2,3,1500,1,Kuala Lumpur,0,0,1
28 Dutamas,2900,Solaris Dutamas,Condominium,4,2,3,1719,2,Kuala Lumpur,0,0,1
Flexus Signature Suites,1500,Jalan Kuching,Other,1,1,1,530,2,Kuala Lumpur,0,0,1
Menjalara 18,2400,Bandar Menjalara,Condominium,3,1,2,1316,2,Kuala Lumpur,0,1,0
G Residence @ Desa Pandan,4500,Desa Pandan,Service Residence,3,2,2,1539,2,Kuala Lumpur,1,0,1
Greenpark,1400,Old Klang Road,Condominium,3,1,2,1270,1,Kuala Lumpur,0,1,1
Majestic Maxim,1800,Cheras,Service Residence,3,1,2,819,1,Kuala Lumpur,1,1,1
